"","AIM_low","GEM_low","MESSAGE_low","REMIND_low","WITCH_low","AIM_mean","GEM_mean","MESSAGE_mean","REMIND_mean","WITCH_mean","AIM_median","GEM_median","MESSAGE_median","REMIND_median","WITCH_median","AIM_high","GEM_high","MESSAGE_high","REMIND_high","WITCH_high"
"0",0.869041863531115,0.866139426651423,0.562216140996297,0.522683394998862,0.982205194087272,1.17951340100409,1.20425021618235,0.79134132186386,0.849000975559148,1.15384802801222,1.15003170458155,1.17994085706737,0.773402814902823,0.812114881950946,1.14779386601305,1.57651196434047,1.6227889592433,1.08926028267491,1.30319092598137,1.3373154497837
"10",0.882285187225183,0.889469431134753,0.552348236427094,0.536791230900234,1.01863130555704,1.20014954193736,1.23962112184744,0.774787352937786,0.865939077538914,1.19459392377419,1.17133638146836,1.21728264110114,0.756835668479485,0.824307843733416,1.18837239648589,1.61094848962266,1.67459445533038,1.05962247422999,1.34593859969721,1.38575242997175
"20",0.890488096539206,0.908355238363773,0.543171661151208,0.548336924553378,1.05530806420153,1.2215064635938,1.26531348483928,0.758547343347155,0.893789145760303,1.23832565932264,1.1957066622701,1.23361614233094,0.74182347963826,0.858058692122727,1.23139115271995,1.63045838896493,1.72134379976791,1.03453764873669,1.36215160117914,1.44219819481903
"30",0.912383610724619,0.937792990838439,0.532136619150076,0.553124293697578,1.09385736192295,1.25430876910536,1.3016584495092,0.74984086278723,0.913092835355517,1.28419919441289,1.22480916943993,1.26961662050551,0.73067739970156,0.871183077996491,1.27839700481637,1.69614289755365,1.76727454266761,1.02590043863679,1.41685333278313,1.48725834520415
"40",0.928687271356189,0.962925407387062,0.524959530086553,0.577398446206355,1.13478935635804,1.26638017106277,1.33561202916636,0.738414555619595,0.935303144626486,1.32896757177043,1.24358195865867,1.30942809527879,0.72139796958004,0.890146535502193,1.32336013998254,1.68684995731174,1.792340301936,1.01150816150659,1.45236293018277,1.54275338281043
"50",0.937181872273569,0.983865411654561,0.523959465549826,0.586072628720372,1.17772424257651,1.28989435537956,1.37594111825492,0.734324423263392,0.961523021259191,1.37967986801174,1.25839134676345,1.34250156622362,0.718058158555463,0.91653269855261,1.37570738751743,1.7453840872921,1.86689056998465,1.0072149524742,1.49326228877616,1.59744097368727
"60",0.951782271187927,1.00789514288353,0.521606401764491,0.601291283562683,1.22093126416933,1.3165942788625,1.40984287376532,0.7316806505789,0.986468626680636,1.42714818012413,1.28774884551569,1.38148678759527,0.715192965716462,0.93633670497146,1.42205218119779,1.7638717697384,1.92668615991877,0.99551210915839,1.51706151252728,1.64870399683071
"70",0.977982438863742,1.03350326173077,0.520309631512939,0.615171824167199,1.26237455345638,1.34534229237936,1.44903927702055,0.731433400885343,1.01803308630795,1.47787767039089,1.31423085051564,1.41987559592281,0.710645997404241,0.965090931020835,1.46944718276607,1.80781722075953,1.98510873476405,1.01547588207398,1.60483673452194,1.71303099906975
"80",0.982650159499197,1.06057426639787,0.519893881375824,0.62987863416297,1.30870407953527,1.36959865122091,1.49028926349422,0.740057045956628,1.04580534387416,1.52700069519902,1.33695702631544,1.45453454492678,0.722510898355207,0.997020617428836,1.51913109460517,1.84915785978727,2.02623205611142,1.02370874752511,1.63642461138731,1.76974199127461
"90",0.999722936695602,1.07785293318276,0.526625150475372,0.643667221561522,1.35873332790083,1.39930435803365,1.52175775684822,0.744246085913384,1.06208158944163,1.58798109317109,1.3629340485664,1.48929597160917,0.727147895382075,1.01397323365297,1.5810269594284,1.89208326150976,2.0701852778808,1.03151390783905,1.65523877506683,1.84037938023389
"100",1.0309365137807,1.10736189066665,0.536247369212953,0.665438265881476,1.40686424159267,1.42267415505704,1.5616411314464,0.756158676154083,1.09381425950473,1.63927988616008,1.39243627840187,1.53155375618784,0.73588544269899,1.03234891579619,1.6351188928411,1.92376017326081,2.11201878517918,1.04682996975893,1.71402284808312,1.89835618514839
"110",1.04537789339519,1.14052681973425,0.54808445569734,0.676246237495198,1.45513885558062,1.44569768191303,1.60461434840796,0.774181882156397,1.12184293760261,1.69783707409017,1.40738129473682,1.57175457509856,0.753820302495421,1.06730954006616,1.68815682567256,1.95430617687604,2.17009614116838,1.06742915603558,1.73601841570309,1.96645471817326
"120",1.06385799672173,1.15913897830982,0.562887543821068,0.683423505116123,1.50543705624923,1.47339591072391,1.64040495845019,0.794674115195499,1.13979721835536,1.754534027691,1.43805777963383,1.59922439481112,0.77298581738866,1.08019805443529,1.74512020825157,1.99441681222871,2.2420483604053,1.10900316427929,1.7866416072519,2.03421279726966
"130",1.08870954378368,1.1913063483225,0.575887324479144,0.701811166643067,1.55611998269371,1.50044203253244,1.687761464558,0.81039593421085,1.17505338944722,1.81774135607952,1.46003727384364,1.64954037026938,0.789601120101416,1.11289828108937,1.81081020906222,2.04922338722329,2.31735650392349,1.12036151994674,1.86226008208243,2.10430096934637
"140",1.10538846917018,1.23256538053336,0.590151053170169,0.718839657129278,1.61753547072571,1.53263418889746,1.74037643684946,0.840541188232192,1.20656194683488,1.87945754382279,1.48997379875345,1.70239144875275,0.818437879467155,1.14671172639863,1.87080410511181,2.08711628239318,2.38037646358386,1.16146482603455,1.92215656818993,2.17037362229888
"150",1.11478388539044,1.25306944277236,0.618591463323316,0.738935752358967,1.66502027210006,1.55963562022297,1.77403812474334,0.876368744830259,1.22925996516005,1.94518919569913,1.52765800867336,1.73569230881318,0.854109595213025,1.15974809714093,1.93577417994327,2.11459070265062,2.4395650318768,1.20685802355742,1.92240130219921,2.25058729689261
"160",1.13638920145024,1.29076701352131,0.635917953120782,0.755065070254595,1.72301309875505,1.58618261333099,1.8195307251826,0.912934878830679,1.25949085775131,2.01113232126775,1.55028385380086,1.78286164882099,0.889728415511116,1.19537518472035,2.00008041506401,2.15151677723891,2.47716255879268,1.26271225674051,1.97804364132199,2.3362717947132
"170",1.15042769758891,1.32764022318784,0.662516859613072,0.775746996502847,1.78180996162229,1.61222979673662,1.87478671781703,0.948897281159602,1.29694589665151,2.08018243088807,1.57644635719954,1.82401260131145,0.925058981576886,1.2296357166881,2.06978932108222,2.21454354438723,2.5881072360377,1.32234622756536,2.05881723988978,2.40682532447367
"180",1.1806635617575,1.34024520007529,0.707815608329882,0.79165503094602,1.84290881607666,1.6518168014813,1.901337891196,1.0018022399949,1.31173789520007,2.14569584479859,1.60738962518629,1.85637830156711,0.970097385857909,1.24553888734056,2.13307057602008,2.26760426426451,2.63247695610112,1.40633282619676,2.05126467081909,2.48313925146603
"190",1.19420413111598,1.36731033477403,0.742676769060499,0.811472644784993,1.89690593598374,1.67605105667855,1.95932165952422,1.05784496498909,1.35094336734612,2.22000905709807,1.63586909320983,1.91578339424211,1.02881682714167,1.28230986629572,2.21033957647108,2.27812540353835,2.68801859826776,1.48613501616723,2.12148195651657,2.57845566182886
"200",1.21458272787277,1.41885099607417,0.771036283046059,0.82981830830046,1.97288313999194,1.70912706965678,2.01322926827989,1.11251580045975,1.38320275530339,2.2911921185752,1.66594888272989,1.97438498592325,1.08180225253288,1.31081128101146,2.28003713051106,2.33992523890348,2.75378468398341,1.55090681141377,2.16561169528825,2.6510687883796
